GPSTrack
013950009319543 - 13.575881,100.767338 - time13/09/2015 0:00:07
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:00:08
013950009320426 - 13.575715,100.767311 - time13/09/2015 0:00:12
013950009309742 - 13.575778,100.767065 - time13/09/2015 0:00:16
013950009315384 - 13.575813,100.767556 - time13/09/2015 0:00:17
013950009319972 - 13.575673,100.767453 - time13/09/2015 0:00:18
013950009323768 - 13.575761,100.766988 - time13/09/2015 0:00:18
013950009324832 - 13.575721,100.767276 - time13/09/2015 0:00:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:00:19
013950009319543 - 13.575711,100.767321 - time13/09/2015 0:00:37
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:00:39
013950009320426 - 13.575718,100.767320 - time13/09/2015 0:00:42
013950009320509 - 13.575998,100.767340 - time13/09/2015 0:00:25
013950009309742 - 13.575763,100.767061 - time13/09/2015 0:00:46
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:00:27
013950009319790 - 13.575745,100.767230 - time13/09/2015 0:00:29
013950009315384 - 13.575798,100.767553 - time13/09/2015 0:00:47
013950009314809 - 13.575683,100.767295 - time13/09/2015 0:00:28
013950009319972 - 13.575703,100.767445 - time13/09/2015 0:00:48
013950009324832 - 13.575763,100.767286 - time13/09/2015 0:00:48
013950009323768 - 13.575761,100.766991 - time13/09/2015 0:00:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:00:49
013950009312506 - 13.575543,100.767465 - time13/09/2015 0:00:03
013950009312506 - 13.575608,100.767436 - time13/09/2015 0:00:32
013950009324535 - 13.575810,100.767373 - time13/09/2015 0:00:04
013950009320004 - 13.575446,100.767241 - time13/09/2015 0:00:03
013950009324535 - 13.575880,100.767358 - time13/09/2015 0:00:34
013950009320004 - 13.575416,100.767260 - time13/09/2015 0:00:33
013950009320509 - 13.575883,100.767290 - time13/09/2015 0:00:55
013950009320152 - 13.575703,100.767043 - time13/09/2015 0:00:07
013950009320152 - 13.575710,100.767038 - time13/09/2015 0:00:37
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:00:57
013950009314809 - 13.575673,100.767275 - time13/09/2015 0:00:58
013950009319790 - 13.575748,100.767231 - time13/09/2015 0:00:59
013950009312506 - 13.575706,100.767395 - time13/09/2015 0:01:02
013950009320004 - 13.575491,100.767285 - time13/09/2015 0:01:03
013950009324535 - 13.575850,100.767343 - time13/09/2015 0:01:04
013950009320152 - 13.575698,100.767036 - time13/09/2015 0:01:07
013950009319543 - 13.575605,100.767300 - time13/09/2015 0:01:07
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:01:09
013950009320426 - 13.575713,100.767321 - time13/09/2015 0:01:12
013950009309742 - 13.575770,100.767065 - time13/09/2015 0:01:15
013950009315384 - 13.575746,100.767580 - time13/09/2015 0:01:17
013950009319972 - 13.575718,100.767445 - time13/09/2015 0:01:17
013950009324832 - 13.575791,100.767248 - time13/09/2015 0:01:18
013950009323768 - 13.575760,100.766990 - time13/09/2015 0:01:18
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:01:20
013950009320509 - 13.575753,100.767351 - time13/09/2015 0:01:25
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:01:28
013950009314809 - 13.575686,100.767288 - time13/09/2015 0:01:28
013950009319790 - 13.575771,100.767233 - time13/09/2015 0:01:29
013950009312506 - 13.575698,100.767373 - time13/09/2015 0:01:32
013950009320004 - 13.575565,100.767291 - time13/09/2015 0:01:33
013950009324535 - 13.575796,100.767330 - time13/09/2015 0:01:34
013950009320152 - 13.575713,100.767038 - time13/09/2015 0:01:36
013950009319543 - 13.575660,100.767290 - time13/09/2015 0:01:37
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:01:39
013950009320426 - 13.575741,100.767323 - time13/09/2015 0:01:42
013950009309742 - 13.575768,100.767066 - time13/09/2015 0:01:45
013950009315384 - 13.575755,100.767580 - time13/09/2015 0:01:47
013950009319972 - 13.575541,100.767420 - time13/09/2015 0:01:47
013950009323768 - 13.575770,100.767020 - time13/09/2015 0:01:48
013950009324832 - 13.575811,100.767205 - time13/09/2015 0:01:48
013950004395373 - 13.575705,100.767273 - time13/09/2015 0:01:50
013950009320509 - 13.575740,100.767353 - time13/09/2015 0:01:55
013777002492740 - 13.575768,100.767145 - time13/09/2015 0:01:58
013950009319790 - 13.575753,100.767226 - time13/09/2015 0:01:59
013950009314809 - 13.575700,100.767280 - time13/09/2015 0:01:58
013950009312506 - 13.575656,100.767385 - time13/09/2015 0:02:02
013950009320004 - 13.575611,100.767271 - time13/09/2015 0:02:03
013950009324535 - 13.575681,100.767348 - time13/09/2015 0:02:04
013950009320152 - 13.575686,100.767038 - time13/09/2015 0:02:06
013950009319543 - 13.575601,100.767300 - time13/09/2015 0:02:07
013777008958603 - 13.575545,100.766998 - time13/09/2015 0:02:09
013950009320426 - 13.575761,100.767328 - time13/09/2015 0:02:12
013950009309742 - 13.575783,100.767070 - time13/09/2015 0:02:15
